ImageName fx fy cx cy skew k1 k2 k3 p1 p2
_SAM1001.JPG 5794.239548 5794.239548 2792.290919 1817.357478 0.000000 -0.049194 0.027710 0.129631 0.000000 0.000000
_SAM1002.JPG 5794.239548 5794.239548 2792.290919 1817.357478 0.000000 -0.049194 0.027710 0.129631 0.000000 0.000000
_SAM1003.JPG 5794.239548 5794.239548 2792.290919 1817.357478 0.000000 -0.049194 0.027710 0.129631 0.000000 0.000000
_SAM1004.JPG 5794.239548 5794.239548 2792.290919 1817.357478 0.000000 -0.049194 0.027710 0.129631 0.000000 0.000000
_SAM1005.JPG 5794.239548 5794.239548 2792.290919 1817.357478 0.000000 -0.049194 0.027710 0.129631 0.000000 0.000000
_SAM1006.JPG 5794.239548 5794.239548 2792.290919 1817.357478 0.000000 -0.049194 0.027710 0.129631 0.000000 0.000000
_SAM1007.JPG 5794.239548 5794.239548 2792.290919 1817.357478 0.000000 -0.049194 0.027710 0.129631 0.000000 0.000000
_SAM1008.JPG 5794.239548 5794.239548 2792.290919 1817.357478 0.000000 -0.049194 0.027710 0.129631 0.000000 0.000000
_SAM1009.JPG 5794.239548 5794.239548 2792.290919 1817.357478 0.000000 -0.049194 0.027710 0.129631 0.000000 0.000000
_SAM1010.JPG 5794.239548 5794.239548 2792.290919 1817.357478 0.000000 -0.049194 0.027710 0.129631 0.000000 0.000000
_SAM1011.JPG 5794.239548 5794.239548 2792.290919 1817.357478 0.000000 -0.049194 0.027710 0.129631 0.000000 0.000000
_SAM1012.JPG 5794.239548 5794.239548 2792.290919 1817.357478 0.000000 -0.049194 0.027710 0.129631 0.000000 0.000000
_SAM1013.JPG 5794.239548 5794.239548 2792.290919 1817.357478 0.000000 -0.049194 0.027710 0.129631 0.000000 0.000000
_SAM1014.JPG 5794.239548 5794.239548 2792.290919 1817.357478 0.000000 -0.049194 0.027710 0.129631 0.000000 0.000000
_SAM1015.JPG 5794.239548 5794.239548 2792.290919 1817.357478 0.000000 -0.049194 0.027710 0.129631 0.000000 0.000000
_SAM1016.JPG 5794.239548 5794.239548 2792.290919 1817.357478 0.000000 -0.049194 0.027710 0.129631 0.000000 0.000000
_SAM1017.JPG 5794.239548 5794.239548 2792.290919 1817.357478 0.000000 -0.049194 0.027710 0.129631 0.000000 0.000000
_SAM1018.JPG 5794.239548 5794.239548 2792.290919 1817.357478 0.000000 -0.049194 0.027710 0.129631 0.000000 0.000000
_SAM1019.JPG 5794.239548 5794.239548 2792.290919 1817.357478 0.000000 -0.049194 0.027710 0.129631 0.000000 0.000000
_SAM1020.JPG 5794.239548 5794.239548 2792.290919 1817.357478 0.000000 -0.049194 0.027710 0.129631 0.000000 0.000000
_SAM1021.JPG 5794.239548 5794.239548 2792.290919 1817.357478 0.000000 -0.049194 0.027710 0.129631 0.000000 0.000000
_SAM1022.JPG 5794.239548 5794.239548 2792.290919 1817.357478 0.000000 -0.049194 0.027710 0.129631 0.000000 0.000000
_SAM1024.JPG 5794.239548 5794.239548 2792.290919 1817.357478 0.000000 -0.049194 0.027710 0.129631 0.000000 0.000000
_SAM1025.JPG 5794.239548 5794.239548 2792.290919 1817.357478 0.000000 -0.049194 0.027710 0.129631 0.000000 0.000000
_SAM1026.JPG 5794.239548 5794.239548 2792.290919 1817.357478 0.000000 -0.049194 0.027710 0.129631 0.000000 0.000000
_SAM1027.JPG 4986.062237 4986.062237 2752.524335 1816.705191 0.000000 -0.058711 0.084756 -0.023060 0.000000 0.000000
_SAM1028.JPG 4986.062237 4986.062237 2752.524335 1816.705191 0.000000 -0.058711 0.084756 -0.023060 0.000000 0.000000
_SAM1029.JPG 4986.062237 4986.062237 2752.524335 1816.705191 0.000000 -0.058711 0.084756 -0.023060 0.000000 0.000000
_SAM1030.JPG 4986.062237 4986.062237 2752.524335 1816.705191 0.000000 -0.058711 0.084756 -0.023060 0.000000 0.000000
_SAM1031.JPG 4986.062237 4986.062237 2752.524335 1816.705191 0.000000 -0.058711 0.084756 -0.023060 0.000000 0.000000
_SAM1032.JPG 4986.062237 4986.062237 2752.524335 1816.705191 0.000000 -0.058711 0.084756 -0.023060 0.000000 0.000000
_SAM1033.JPG 4986.062237 4986.062237 2752.524335 1816.705191 0.000000 -0.058711 0.084756 -0.023060 0.000000 0.000000
_SAM1034.JPG 4986.062237 4986.062237 2752.524335 1816.705191 0.000000 -0.058711 0.084756 -0.023060 0.000000 0.000000
_SAM1035.JPG 4986.062237 4986.062237 2752.524335 1816.705191 0.000000 -0.058711 0.084756 -0.023060 0.000000 0.000000
_SAM1036.JPG 4986.062237 4986.062237 2752.524335 1816.705191 0.000000 -0.058711 0.084756 -0.023060 0.000000 0.000000
_SAM1037.JPG 4986.062237 4986.062237 2752.524335 1816.705191 0.000000 -0.058711 0.084756 -0.023060 0.000000 0.000000
_SAM1039.JPG 4986.062237 4986.062237 2752.524335 1816.705191 0.000000 -0.058711 0.084756 -0.023060 0.000000 0.000000
